Date,Flow,SSC
2011-01-01,1.32624671725599,119
2011-01-02,1.72298718823,196
2011-01-03,1.54162011578474,94.8
2011-01-04,1.41409639297166,89.3
2011-01-05,1.38292392739513,66.4
2011-01-06,1.26673564660989,62.6
2011-01-07,1.17888597089421,48
2011-01-08,1.10237173720637,44.4
2011-01-09,1.03719294554635,38.4
2011-01-10,0.98618345642112,40.9
2011-01-11,0.955010990844591,58.2
2011-01-12,0.932340106788932,57.5
2011-01-13,0.912503083240232,52.5
2011-01-14,0.901167641212403,49.1
2011-01-15,0.892666059691531,45.4
2011-01-16,0.892666059691531,59.4
2011-01-17,0.892666059691531,48.1
2011-01-18,0.997518898448949,128
2011-01-19,1.1335442027829,133
2011-01-20,1.07403313213679,107
2011-01-21,1.02018978250461,84.4
2011-01-22,0.963512572365462,75.2
2011-01-23,0.901167641212403,72.9
2011-01-24,0.850158152087172,62.4
2011-01-25,0.847324291580215,68.8
2011-01-26,0.855825873101087,83.8
2011-01-27,0.847324291580215,113
2011-01-28,0.813317965496728,109
2011-01-29,0.765142336878455,82.5
2011-01-30,0.714132847753225,60.1
2011-01-31,0.671624940148866,58.7
2011-02-01,0.631950893051465,50.8
2011-02-02,0.648954056093208,54.9
2011-02-03,0.660289498121037,42.4
2011-02-04,0.629117032544508,48
2011-02-05,0.796314802454985,105
2011-02-06,1.73148876975087,129
2011-02-07,1.06836541112288,106
2011-02-08,0.932340106788932,88.1
2011-02-09,0.838822710059344,63.2
2011-02-10,0.810484104989771,55.7
2011-02-11,0.765142336878455,53.8
2011-02-12,0.725468289781054,40.2
2011-02-13,0.714132847753225,37.2
2011-02-14,0.776477778906284,185
2011-02-15,1.00035275895591,92.3
2011-02-16,0.940841688309804,72.4
2011-02-17,0.991851177435035,103
2011-02-18,2.23024821897535,457
2011-02-19,3.20226237286168,298
2011-02-20,2.52780357220586,123
2011-02-21,2.34076877874668,91.8
2011-02-22,2.02337640196747,99.7
2011-02-23,1.83917546901525,102
2011-02-24,1.72865490924392,84.3
2011-02-25,1.61530048896563,125
2011-02-26,1.53028467375691,93.7
2011-02-27,1.67481155961173,103
2011-02-28,2.14523240376663,230
2011-03-01,2.23024821897535,173
2011-03-02,2.00070551791181,NA
2011-03-03,1.79666756141089,NA
2011-03-04,1.81933844546655,NA
2011-03-05,1.81367072445263,NA
2011-03-06,21.9907575339882,NA
2011-03-07,29.4721492723553,NA
2011-03-08,12.1572615748466,NA
2011-03-09,7.99148662961942,NA
2011-03-10,12.5823406508902,NA
2011-03-11,72.5468289781054,NA
2011-03-12,22.7558998708666,NA
2011-03-13,12.2989546001944,NA
2011-03-14,8.10484104989771,NA
2011-03-15,6.23449311530593,NA
2011-03-16,5.92276845954064,NA
2011-03-17,6.20615451023636,NA
2011-03-18,9.12503083240232,NA
2011-03-19,10.7970085315071,NA
2011-03-20,7.79311639413241,NA
2011-03-21,6.51787916600166,NA
2011-03-22,5.4410121733579,NA
2011-03-23,4.56251541620116,NA
2011-03-24,3.93906610467057,NA
2011-03-25,3.37229400327912,NA
2011-03-26,2.94721492723553,NA
2011-03-27,2.59865008487979,NA
2011-03-28,2.3265994762119,NA
2011-03-29,2.18490645086403,NA
2011-03-30,2.06305044906487,NA
2011-03-31,2.01770868095356,NA
2011-04-01,1.96386533132137,NA
2011-04-02,1.84767705053612,NA
2011-04-03,1.77116281684828,NA
2011-04-04,1.99220393639094,NA
2011-04-05,3.00389213737468,NA
2011-04-06,3.71235726411399,NA
2011-04-07,3.5990028438357,NA
2011-04-08,3.40063260834869,NA
2011-04-09,3.20226237286168,NA
2011-04-10,3.34395539820955,NA
2011-04-11,5.07261030745346,NA
2011-04-12,7.96314802454985,NA
2011-04-13,8.07650244482814,NA
2011-04-14,6.80126521669738,NA
2011-04-15,5.46935077842748,NA
2011-04-16,8.01982523468899,NA
2011-04-17,29.4721492723553,NA
2011-04-18,13.1491127522816,NA
2011-04-19,8.81330617663702,NA
2011-04-20,7.56640755357583,NA
2011-04-21,6.29117032544508,NA
2011-04-22,5.18596472773175,NA
2011-04-23,5.83775264433192,NA
2011-04-24,5.66772101391448,NA
2011-04-25,5.58270519870577,NA
2011-04-26,6.23449311530593,NA
2011-04-27,7.16966708260182,NA
2011-04-28,14.5943816108298,NA
2011-04-29,12.724033676238,NA
2011-04-30,8.50158152087172,NA
2011-05-01,6.37618614065379,NA
2011-05-02,5.04427170238389,NA
2011-05-03,4.25079076043586,NA
2011-05-04,5.15762612266218,NA
2011-05-05,4.50583820606201,NA
2011-05-06,4.16577494522715,NA
2011-05-07,3.82571168439228,NA
2011-05-08,3.45730981848783,NA
2011-05-09,3.06056934751382,NA
2011-05-10,2.71767222617199,NA
2011-05-11,2.40311370989974,NA
2011-05-12,2.1537339852875,NA
2011-05-13,1.96386533132137,39.3
2011-05-14,1.84484319002916,49.2
2011-05-15,1.96669919182833,82.3
2011-05-16,4.02408191987928,184
2011-05-17,7.19800568767139,160
2011-05-18,18.1083686394568,259
2011-05-19,31.4558516272254,205
2011-05-20,17.5982737482045,91.5
2011-05-21,10.4286066656026,66.6
2011-05-22,7.22634429274097,51.4
2011-05-23,5.80941403926235,66.4
2011-05-24,5.52602798856662,78.9
2011-05-25,4.50583820606201,48.8
2011-05-26,3.93906610467057,48.5
2011-05-27,3.57066423876612,49.2
2011-05-28,3.00389213737468,54.9
2011-05-29,2.60431780589371,45
2011-05-30,2.43995389649018,54.3
2011-05-31,2.14523240376663,37.5
2011-06-01,1.88735109763352,32.9
2011-06-02,1.64647295454216,29
2011-06-03,1.46793974260385,25.7
2011-06-04,1.32057899624207,24.9
2011-06-05,1.22422773900553,22.2
2011-06-06,1.12220876075507,23.8
2011-06-07,1.02585750351852,24.9
2011-06-08,0.974848014393291,36.9
2011-06-09,1.23839704154031,107
2011-06-10,0.969180293379377,87.7
2011-06-11,1.09670401619245,233
2011-06-12,1.65497453606303,318
2011-06-13,1.34608374080469,93.5
2011-06-14,1.09103629517854,90
2011-06-15,0.98618345642112,191
2011-06-16,0.906835362226317,91.5
2011-06-17,1.04286066656026,94.9
2011-06-18,0.991851177435035,101
2011-06-19,0.861493594115001,41.7
2011-06-20,0.793480941948028,33.5
2011-06-21,0.736803731808883,26.1
2011-06-22,0.855825873101087,51.6
2011-06-23,1.48210904513864,193
2011-06-24,2.26708840556579,226
2011-06-25,3.5990028438357,126
2011-06-26,2.68649976059546,67.9
2011-06-27,2.22741435846839,51.5
2011-06-28,2.16790328782229,161
2011-06-29,2.91887632216596,82.2
2011-06-30,2.11689379869706,41.1
2011-07-01,1.81650458495959,43.8
2011-07-02,1.59829732592388,39.9
2011-07-03,7.11298987246268,376
2011-07-04,7.79311639413241,69.1
2011-07-05,4.98759449224475,50.2
2011-07-06,3.68401865904441,47.9
2011-07-07,2.89053771709639,40.2
2011-07-08,2.39461212837887,32.7
2011-07-09,2.054548867544,29.8
2011-07-10,1.69748244366739,24.5
2011-07-11,1.47644132412472,22.6
2011-07-12,1.28657267015859,18.8
2011-07-13,1.1335442027829,17.3
2011-07-14,1.00318661946286,16.7
2011-07-15,0.938007827802847,19.1
2011-07-16,0.855825873101087,16.1
2011-07-17,0.776477778906284,15.9
2011-07-18,0.745305313329755,20.3
2011-07-19,0.68862810319061,25.6
2011-07-20,0.631950893051465,24.3
2011-07-21,0.592276845954063,20.2
2011-07-22,0.535599635814919,27.4
2011-07-23,0.498759449224475,26.1
2011-07-24,0.487424007196646,29.4
2011-07-25,0.807650244482814,72.2
2011-07-26,0.929506246281975,146
2011-07-27,0.70846512673931,80
2011-07-28,0.561104380377534,96.5
2011-07-29,0.558270519870577,119
2011-07-30,0.535599635814919,240
2011-07-31,0.490257867703603,254
2011-08-01,0.504427170238389,252
2011-08-02,0.478922425675774,178
2011-08-03,0.450583820606201,233
2011-08-04,0.444916099592287,281
2011-08-05,0.416577494522714,281
2011-08-06,0.473254704661859,334
2011-08-07,0.566772101391448,192
2011-08-08,0.459085402127073,69.6
2011-08-09,0.527098054294047,160
2011-08-10,0.847324291580215,284
2011-08-11,0.529931914801004,180
2011-08-12,0.453417681113159,142
2011-08-13,0.416577494522714,110
2011-08-14,0.436414518071415,63.8
2011-08-15,34.5730981848783,620
2011-08-16,19.4402830777267,116
2011-08-17,9.38007827802847,92
2011-08-18,6.00778427474935,89.5
2011-08-19,4.39248378578372,128
2011-08-20,3.42897121341826,75.5
2011-08-21,2.76868171529722,89.1
2011-08-22,2.45695705953193,80.7
2011-08-23,2.02904412298138,36.8
